idx,img_id,HSV_CLUSTER,mosaic_idx,mosaic_position,fold,cluster,source,hold_out,METRIC_SCORE
0,55ff2b0ec48b76e10c7ee18add5794005cd551697f96af865c763d50da78dd9c,1,76,,3,f,train,0,0.35806064306064295
1,ae570a676961482848b5097038ef5e407df7a66a8e1c9b0567da599565a6b142,2,0,down_left,0,c,train,1,0.4374463659980472
2,40bcdad218ac5f0885fc247d88fcad9f729f55c81c79d241a8f1559b6d8c0574,1,77,,0,f,train,0,0.6591844997108155
3,337b6eed0726f07531cd467cd62b6676c31a8c9e716bdbc49433986c022252cf,2,1,down_right,3,b,train,0,0.4361690613798603
4,da5f98f2b8a64eee735a398de48ed42cd31bf17a6063db46a9e0783ac13cd844,1,78,,1,a,train,0,0.7152902491901356
5,4e07a653352b30bb95b60ebc6c57afbc7215716224af731c51ff8d430788cd40,0,79,,2,d,train,0,0.23233622995650666
6,8d05fb18ee0cda107d56735cafa6197a31884e0a5092dc6d41760fb92ae23ab4,0,80,,3,d,train,0,0.6866371136133866
7,29dd28df98ee51b4ab1a87f5509538ecc3e4697fc57c40c6165658f61b0d8e3a,1,81,,0,f,train,0,0.5583578039392931
8,0bf4b144167694b6846d584cf52c458f34f28fcae75328a2a096c8214e01c0d0,1,2,down_left,2,f,train,0,0.6048520355313605
9,84e642d75ae6ece8147272418b6fe13d04db8d076fe306c4acedc329fceab564,1,3,down_right,2,f,train,0,0.8070010395816848
10,573e1480b500c395f8d3f1800e1998bf553af0d3d43039333d33cf37d08f64e5,1,82,,2,f,train,0,0.7564554707642607
11,93c5638e7e6433b5c9cc87c152bcbe28873d2f9d6a392cca0642520807542a77,1,83,,1,f,train,0,0.8
12,d910b2b1be8406caecfe31a503d412ffc4e3d488286242ebc7381836121dd4ef,1,4,down_left,1,f,train,0,0.4957893632548805
13,e5a7b8a9924b26b3abf039255a8a3bb00258f4966f68ff3349560b4350af9367,1,5,up_right,0,f,train,0,0.7412427065687935
14,8a26b134fe9343c0c794513dae7787b7ac1debec3bb2a7096ab0b874a31d8175,1,84,,3,a,train,0,0.5034217843581437
15,b98681c74842c4058bd2f88b06063731c26a90da083b1ef348e0ec734c58752b,1,85,,0,f,train,0,0.8428571428571429
16,4d2cff9a0c8df3a7ef6100fda6f66e865a7670af6a18564767d8019b9ed2fd7b,1,86,,1,f,train,0,0.7851225975264471
17,1609b1b8480ee52652a644403b3f7d5511410a016750aa3b9a4c8ddb3e893e8e,1,6,down_left,3,f,train,0,0.8259363217427733
18,2dec81a678ddcac2b110acffe82427d857695180bd841e3f9736a554acf832af,1,7,down_right,2,a,train,0,0.8662361725120347
19,ee927e8255096971ddae1bd975cf80c4ad7c847c82d0b5f5dd2ddfe5407007ee,1,87,,2,a,train,0,0.4184217990690791
20,c620631271a56407d6d69fa1a69451ca99c50dcc30e29db04cf6fb7cacbde8cb,1,88,,3,f,train,0,0.5630952380952381
